Current_time,Latest_data_timestamp
1214878.550021600,1214878.497740285
1214878.555046400,1214878.497740285
1214878.559032900,1214878.514427811
1214878.564027400,1214878.514427811
1214878.568056700,1214878.514427811
1214878.572002100,1214878.514427811
1214878.575507200,1214878.514427811
1214878.579943700,1214878.514427811
1214878.583799400,1214878.514427811
1214878.588764900,1214878.531115337
1214878.592353900,1214878.547802863
1214878.595925000,1214878.547802863
1214878.600901300,1214878.547802863
1214878.604870600,1214878.547802863
1214878.609634500,1214878.564490389
1214878.613628200,1214878.564490389
1214878.617157900,1214878.564490389
1214878.622173000,1214878.581177915
1214878.626165000,1214878.581177915
1214878.630165800,1214878.581177915
1214878.634144600,1214878.581177915
1214878.637522700,1214878.581177915
1214878.642269500,1214878.597865441
1214878.647678500,1214878.597865441
1214878.650584100,1214878.597865441
1214878.655029400,1214878.597865441
1214878.658439500,1214878.597865441
1214878.662968200,1214878.614552967
1214878.667587700,1214878.614552967
1214878.671303600,1214878.631240494
1214878.676063600,1214878.631240494
1214878.679610000,1214878.631240494
1214878.684507800,1214878.631240494
1214878.688055700,1214878.647928020
1214878.692840600,1214878.647928020
1214878.696818200,1214878.647928020
1214878.700803600,1214878.647928020
1214878.704533100,1214878.647928020
1214878.708950100,1214878.664615546
1214878.713008600,1214878.664615546
1214878.718056700,1214878.664615546
1214878.721813100,1214878.664615546
1214878.725402600,1214878.664615546
1214878.730653700,1214878.681303072
1214878.734761600,1214878.697990598
1214878.738343300,1214878.697990598
1214878.742085500,1214878.697990598
1214878.747366800,1214878.697990598
1214878.750693700,1214878.714678124
1214878.754992500,1214878.714678124
1214878.758383500,1214878.714678124
1214878.763294400,1214878.714678124
1214878.767014300,1214878.714678124
1214878.771408700,1214878.731365650
1214878.776114600,1214878.731365650
1214878.779602700,1214878.731365650
1214878.783936800,1214878.748053177
1214878.788278300,1214878.748053177
1214878.792179800,1214878.748053177
1214878.797258300,1214878.748053177
1214878.801111700,1214878.764740703
1214878.804862700,1214878.764740703
1214878.809031200,1214878.764740703
1214878.813047300,1214878.764740703
1214878.818668700,1214878.781428229
1214878.821956000,1214878.781428229
1214878.825888800,1214878.781428229
1214878.829914500,1214878.798115755
1214878.833903000,1214878.798115755
1214878.838908500,1214878.798115755
1214878.842880500,1214878.798115755
1214878.847210500,1214878.814803281
1214878.850865900,1214878.814803281
1214878.854863800,1214878.814803281
1214878.859834700,1214878.814803281
1214878.864311200,1214878.831490807
1214878.866811200,1214878.831490807
1214878.871802800,1214878.831490807
1214878.875147600,1214878.831490807
1214878.879666200,1214878.831490807
1214878.885274400,1214878.831490807
